Date,Actual,Goal
2023-01-01,4479,8000
2023-01-02,7924,8000
2023-01-03,4414,8000
2023-01-04,8907,8000
2023-01-05,6316,8000
2023-01-06,2643,8000
2023-01-07,4562,8000
2023-01-08,3480,8000
2023-01-09,5709,8000
2023-01-10,5837,8000
2023-01-11,5671,8000
2023-01-12,9803,8000
2023-01-13,5127,8000
2023-01-14,0,8000
2023-01-15,4137,8000
2023-01-16,7403,8000
2023-01-17,5709,8000
2023-01-18,8343,8000
2023-01-19,10945,8000
2023-01-20,4906,8000
2023-01-21,2232,8000
2023-01-22,7114,8000
2023-01-23,6138,8000
2023-01-24,4845,8000
2023-01-25,10218,8000
2023-01-26,4920,8000
2023-01-27,4237,8000
2023-01-28,0,8000
2023-01-29,3554,8000
2023-01-30,9995,8000
2023-01-31,4406,8000
2023-02-01,5046,8000
2023-02-02,4969,8000
2023-02-03,4979,8000
2023-02-04,1441,8000
2023-02-05,3025,8000
2023-02-06,3956,8000
2023-02-07,5417,8000
2023-02-08,3397,8000
2023-02-09,15341,8000
2023-02-10,8071,8000
2023-02-11,1392,8000
2023-02-12,5768,8000
2023-02-13,7843,8000
2023-02-14,5547,8000
2023-02-15,10868,8000
2023-02-16,6117,8000
2023-02-17,4928,8000
2023-02-18,3796,8000
2023-02-19,2078,8000
2023-02-20,9668,8000
2023-02-21,10153,8000
2023-02-22,5436,8000
2023-02-23,2183,8000
2023-02-24,8227,8000
2023-02-25,2416,8000
2023-02-26,2376,8000
2023-02-27,7231,8000
2023-02-28,6937,8000
2023-03-01,5748,8000
2023-03-02,7358,8000
2023-03-03,6591,8000
2023-03-04,2001,8000
2023-03-05,4090,8000
2023-03-06,4152,8000
2023-03-07,7521,8000
2023-03-08,9689,8000
2023-03-09,4166,8000
2023-03-10,5735,8000
2023-03-11,2007,8000
2023-03-12,1740,8000
2023-03-13,5156,8000
2023-03-14,9179,8000
2023-03-15,4111,8000
2023-03-16,6143,8000
2023-03-17,6073,8000
2023-03-18,3616,8000
2023-03-19,3361,8000
2023-03-20,10772,8000
2023-03-21,5967,8000
2023-03-22,11088,8000
2023-03-23,4355,8000
2023-03-24,13483,8000
2023-03-25,10089,8000
2023-03-26,13556,8000
2023-03-27,12984,8000
2023-03-28,15553,8000
2023-03-29,8111,8000
2023-03-30,16611,8000
2023-03-31,14905,8000
2023-04-01,10345,8000
2023-04-02,7534,8000
2023-04-03,6732,8000
2023-04-04,7304,8000
2023-04-05,5332,8000
2023-04-06,9763,8000
2023-04-07,3255,8000
2023-04-08,4697,8000
2023-04-09,2697,8000
2023-04-10,6700,8000
2023-04-11,5418,8000
2023-04-12,5214,8000
2023-04-13,2251,8000
2023-04-14,6167,8000
2023-04-15,1168,8000
2023-04-16,4823,8000
2023-04-17,5270,8000
2023-04-18,4860,8000
2023-04-19,2806,8000
2023-04-20,6555,8000
2023-04-21,5252,8000
2023-04-22,4019,8000
2023-04-23,2533,8000
2023-04-24,6526,8000
2023-04-25,5981,8000
2023-04-26,7114,8000
2023-04-27,7375,6500
2023-04-28,5266,6500
2023-04-29,3489,6500
2023-04-30,1879,6500
2023-05-01,4947,6500
2023-05-02,6252,6500
2023-05-03,6601,6500
2023-05-04,7031,6500
2023-05-05,2173,6500
2023-05-06,5839,6500
2023-05-07,3363,6500
2023-05-08,7263,6500
2023-05-09,4539,6500
2023-05-10,7829,6500
2023-05-11,8100,6500
2023-05-12,7985,6500
2023-05-13,4994,6500
2023-05-14,1393,6500
2023-05-15,6218,6500
2023-05-16,6427,6500
2023-05-17,7453,6500
2023-05-18,6377,6500
2023-05-19,5817,6500
2023-05-20,2683,6500
2023-05-21,2532,6500
2023-05-22,4867,6500
2023-05-23,5695,6500
2023-05-24,11038,6500
2023-05-25,5143,6500
2023-05-26,6019,6500
2023-05-27,3263,6500
2023-05-28,6504,6500
2023-05-29,4962,6500
2023-05-30,5174,6500
2023-05-31,4099,6500
2023-06-01,6488,6500
2023-06-02,3647,6500
2023-06-03,1406,6500
2023-06-04,3878,6500
2023-06-05,8869,6500
2023-06-06,3241,6500
2023-06-07,4030,6500
2023-06-08,5973,6500
2023-06-09,5843,6500
2023-06-10,3022,6500
2023-06-11,3825,6500
2023-06-12,5266,6500
2023-06-13,6074,6500
2023-06-14,5511,6500
2023-06-15,7763,6500
2023-06-16,3595,6500
2023-06-17,6315,6500
2023-06-18,643,6500
2023-06-19,9806,6500
2023-06-20,6746,6500
2023-06-21,5668,6500
2023-06-22,4950,6500
2023-06-23,5343,6500
2023-06-24,1839,6500
2023-06-25,2664,6500
2023-06-26,2211,6500
2023-06-27,2365,6500
2023-06-28,7909,6500
2023-06-29,12829,6500
2023-06-30,6717,6500
2023-07-01,9217,6500
2023-07-02,6538,6500
2023-07-03,8618,6500
2023-07-04,7081,6500
2023-07-05,4679,6500
2023-07-06,9253,6500
2023-07-07,7201,6500
2023-07-08,6525,6500
2023-07-09,3629,6500
2023-07-10,6555,6500
2023-07-11,7665,6500
2023-07-12,4289,6500
2023-07-13,11093,6500
2023-07-14,8706,6500
2023-07-15,3151,6500
2023-07-16,6908,6500
2023-07-17,11524,6500
2023-07-18,7049,6500
2023-07-19,10224,6500
2023-07-20,8393,6500
2023-07-21,5954,6500
2023-07-22,9550,6500
2023-07-23,5157,6500
2023-07-24,8923,6500
